trip_id,payment_method,base_fare_amount,surge_amount,tax_amount,tip_amount,discount_amount,driver_payout_amount
61,Wallet,90.38,13.56,8.32,13.47,0.00,83.35
62,Card,11.49,1.15,1.01,0.00,0.00,8.07
63,Card,17.71,0.00,1.42,0.00,0.00,11.24
64,Cash,43.78,0.00,3.50,4.73,0.00,33.85
65,Card,20.13,0.00,1.61,1.74,0.00,12.81
66,Card,81.33,16.27,7.81,8.43,0.00,80.44
67,Wallet,37.64,1.88,3.16,5.12,0.00,30.98
68,Card,11.13,1.11,0.98,1.59,0.00,7.34
69,Cash,45.56,4.56,4.01,0.00,1.00,31.60
70,Wallet,35.32,3.53,3.11,5.04,0.00,29.99
71,Card,13.81,0.00,1.10,1.79,2.00,9.43
72,Card,4.93,0.99,0.47,0.51,0.00,3.84
73,Wallet,92.60,4.63,7.78,6.30,0.00,78.58
74,Wallet,33.92,0.00,2.71,0.00,0.00,21.10
75,Card,15.41,0.00,1.23,0.00,0.00,8.14
76,Card,33.69,0.00,2.70,6.55,0.00,24.54
77,Wallet,12.68,1.27,1.12,1.51,0.00,8.28
78,Cash,9.59,0.96,0.84,1.14,0.00,7.80
79,Cash,28.34,0.00,2.27,0.00,0.00,18.00
80,Cash,47.72,4.77,4.20,5.67,0.00,36.45
81,Cash,43.74,0.00,3.50,0.00,1.50,27.89
82,Card,8.94,0.00,0.72,1.45,0.00,6.69
83,Card,25.18,2.52,2.22,3.59,0.00,21.18
84,Wallet,11.44,1.14,1.01,0.00,0.00,8.48
85,Corporate,22.44,2.24,1.97,0.00,0.00,16.33
86,Card,14.50,1.45,1.28,1.38,1.00,10.36
87,Card,14.91,2.98,1.43,2.90,0.00,14.72
88,Card,58.89,0.00,4.71,7.63,0.00,43.07
89,Card,41.74,6.26,3.84,9.33,0.00,38.94
90,Corporate,14.75,0.00,1.18,0.00,0.00,8.32
91,Card,43.57,10.89,4.36,7.06,0.00,42.42
92,Cash,11.07,1.66,1.02,0.00,0.00,7.10
93,Card,16.94,1.69,1.49,2.41,0.00,11.23
94,Wallet,21.31,0.00,1.70,1.38,0.00,13.37
95,Wallet,35.41,5.31,3.26,2.64,0.00,29.78
96,Card,25.17,0.00,2.01,2.17,0.00,14.90
97,Card,55.65,0.00,4.45,10.82,0.00,44.02
98,Card,23.04,0.00,1.84,0.00,0.00,14.05
99,Card,37.13,0.00,2.97,3.21,0.00,27.14
100,Cash,23.87,0.00,1.91,0.00,0.00,15.69
101," Card ",18.50,2.00,1.50,3.00,0.00,15.00
102," cash ",22.00,-1.50,1.80,4.50,0.00,18.00
103,wallet,9.75,0.75,0.80,not_a_number,0.00,8.00
104,CARD,-5.00,0.00,0.40,1.00,0.00,4.00
105,,12.00,1.25,1.06,2.50,1.00,10.00
,Card,14.25,0.00,1.14,2.00,0.00,11.00
